Course	Room	Teacher	Time	Students
36	5	14	2	7 8 23 29 54 59 65 71 72 79 80 119 132 142 199 214 229 233 247 259 270 295 296 301 320 322 328 358 365 385 390 397 418 437 445 453 463 474 486 
44	5	25	3	15 23 30 42 90 97 135 147 149 159 160 183 200 201 215 218 226 238 258 267 294 321 330 359 376 377 390 402 413 422 424 428 445 458 462 471 488 492 498 
49	5	16	4	12 28 68 85 89 102 108 135 186 189 200 207 211 231 237 247 268 282 291 292 293 305 314 318 349 353 355 356 357 383 394 399 401 406 416 428 429 432 436 
30	6	1	0	10 26 36 64 73 86 96 112 120 123 124 127 138 172 179 197 217 226 232 241 245 249 267 289 316 333 354 359 366 384 403 412 432 442 472 480 495 
33	6	21	1	5 48 51 53 57 69 118 121 140 152 159 163 187 228 241 304 308 312 315 333 334 341 353 361 362 371 403 405 412 417 428 432 434 439 461 465 477 
23	6	17	2	5 25 30 41 81 87 88 104 110 117 146 149 153 169 185 186 190 206 214 218 221 275 286 306 310 315 339 343 350 353 373 374 418 419 447 451 466 494 
45	6	16	3	1 14 33 34 44 63 73 80 91 94 95 118 126 129 131 161 165 166 202 203 219 238 249 281 292 326 341 343 357 390 407 423 443 465 480 481 485 498 
4	6	22	4	51 73 82 88 92 114 128 174 190 191 195 196 211 215 241 273 275 290 310 326 330 335 342 352 364 368 375 385 389 391 392 397 400 425 442 445 448 458 474 
35	7	8	0	10 18 20 27 38 46 69 85 99 101 102 112 116 117 137 138 158 168 177 237 250 264 266 278 284 287 300 313 332 345 346 355 377 378 
8	7	12	1	26 31 37 38 43 45 48 54 56 58 62 63 65 76 82 90 125 130 132 170 172 180 181 198 254 259 275 277 302 304 308 320 336 358 
43	7	19	2	1 30 31 60 70 72 79 86 98 113 122 146 190 196 206 208 222 239 243 252 253 275 278 285 303 313 321 323 335 337 363 365 367 369 
12	7	11	3	11 19 33 39 44 54 61 64 74 96 120 123 125 144 154 169 184 189 190 214 235 236 246 260 263 272 276 283 284 296 309 317 321 325 
39	7	10	4	20 68 69 85 91 95 101 115 131 133 146 160 167 186 188 189 192 216 222 223 235 254 265 266 267 270 289 291 292 327 328 330 348 356 
7	8	5	0	1 11 13 19 26 35 38 57 65 106 113 114 122 128 192 201 204 207 233 260 293 339 345 384 386 412 414 423 440 467 470 491 500 
13	8	20	1	4 5 36 49 62 87 105 142 148 156 161 165 238 267 270 281 287 288 308 329 340 362 400 419 422 426 431 434 440 446 448 491 497 
3	8	7	2	6 32 36 41 52 61 96 107 109 116 155 166 169 179 198 225 231 252 253 257 258 261 262 265 327 332 374 377 382 389 460 481 493 496 
22	8	3	3	14 48 62 69 71 86 89 94 110 131 155 168 185 187 200 206 209 224 231 253 310 322 333 336 348 381 402 439 448 459 469 475 497 498 
37	8	9	4	12 19 27 29 62 70 71 92 108 118 136 146 158 162 201 203 205 225 230 261 322 345 351 388 404 405 414 429 430 433 434 479 485 487 
15	9	2	0	13 34 39 42 46 60 78 91 124 147 175 176 188 204 208 215 217 228 230 236 244 251 255 268 269 273 283 290 320 363 371 379 393 410 421 423 447 449 459 472 477 500 
2	9	22	1	4 11 20 32 34 37 45 52 78 105 113 133 157 185 192 202 205 213 276 284 297 299 309 316 317 323 327 339 342 345 347 364 365 392 410 441 449 450 452 460 471 488 
19	9	25	2	9 50 55 66 72 78 82 83 92 97 100 102 104 107 193 194 200 207 210 217 234 240 255 256 260 271 274 303 309 314 330 347 349 382 405 419 444 449 455 457 460 465 
11	9	17	3	2 5 14 23 39 49 54 63 80 84 125 134 136 143 158 159 171 176 194 211 225 239 261 266 271 283 285 295 300 305 307 314 324 347 375 384 387 392 403 422 482 485 
31	9	6	4	3 27 38 39 60 61 66 74 83 115 116 120 148 157 161 175 176 213 232 233 234 237 238 243 244 245 250 269 270 288 289 316 360 369 370 385 393 395 400 418 424 439 
25	10	5	3	7 9 24 28 41 46 47 50 53 87 93 154 167 182 249 255 262 277 279 312 319 329 374 397 416 419 420 425 427 430 450 495 
24	10	14	1	32 66 74 89 94 108 115 117 118 149 163 170 193 232 241 272 292 317 339 373 387 440 477 484 487 
46	10	13	2	8 25 33 47 93 119 126 129 151 172 183 195 197 203 220 242 258 266 288 325 361 369 394 398 431 457 470 499 
50	10	4	0	7 37 47 49 50 63 77 99 144 147 152 160 168 209 239 250 254 269 281 285 314 323 341 348 361 372 378 383 384 388 397 441 461 474 487 
29	10	21	4	8 46 48 64 73 74 86 93 123 125 129 135 148 155 161 162 177 204 286 293 301 343 348 359 361 376 406 415 462 466 471 475 
